Reference No.,Citation
261,"Weiser, J., Wegensteiner, R., Händel, U., & Žižka, Z. (2003). Infections with the ascomycete fungus Metschnikowia typographi sp. nov. in the bark beetles Ips typographus and Ips amitinus (Coleoptera, Scolytidae). Folia microbiologica, 48(5), 611-618."
262,"Weiser, J., Wegensteiner, R.,Zizka, Z., 1995. Canningia spinidentis gen. et sp.n. (Protista: Microspora), a new pathogen of the fir bark beetle Pityokteines spinidens. Folia Parasit 42, 1–10."
263,"Whitney, H. S., Ritchie, D. C., Borden, J. H., & Stock, A. J. (1984). the fungus Beauveria bassiana (Deuteromycotina: Hyphomycetaceae) in the western balsam bark beetle, Dryocoetes confusus (Coleoptera: Scolytidae). The Canadian Entomologist, 116(10), 1419-1424."
264,"Williams, G. M., & Ginzel, M. D. (2023). Functional roles of nematodes associated with the walnut twig beetle and eastern black walnut in the inland northwest. Forest Pathology, 53(1), e12791."
265,"Wood, D. L. (1961). The occurrence of Serratia marcescens Bizio in laboratory populations of Ips confusus (Leconte)(Coleoptera, Scolytidae)."
266,"Xu, L., Deng, J., Zhou, F., Cheng, C., Zhang, L., Zhang, J., & Lu, M. (2019). Gut microbiota in an invasive bark beetle infected by a pathogenic fungus accelerates beetle mortality. Journal of Pest Science, 92(1), 343-351."
267,"Xu, L., Zhang, Y., Zhang, S., Deng, J., Lu, M., Zhang, L., & Zhang, J. (2018). Comparative analysis of the immune system of an invasive bark beetle, Dendroctonus valens, infected by an entomopathogenic fungus. Developmental & Comparative Immunology, 88, 65-69."
268,"Yaman, M. (2007). Gregarina typographi Fuchs, a gregarine pathogen of the six-toothed pine bark beetle, Ips sexdentatus (Boerner)(Coleoptera: Curculionidae, Scolytinae) in Turkey. Turkish Journal of Zoology, 31(4), 359-363."
269,"Yaman, M., & Baki, H. (2010). The First Record of Gregarina typographi Fuchs.(Protista: Apicomplexa: Gregarinidae) from the European Spruce Bark Beetle, Ips typographus (Linnaeus)(Coleoptera: Curculionidae: Scoltinae) in Turkey. Turkish journal of Parasitology, 34(4), 179-82."
270,"Yaman, M., & Baki, H. (2011). First Record of Entomopoxvirus of Ips typographus (Linnaeus)(Coleoptera: Curculionidae, Scolytinae) for Turkey. Acta zool. bulg, 63, 199-202."
271,"Yaman, M., & Radek, R. (2008). Pathogens and parasites of adults of the great spruce bark beetle, Dendroctonus micans (Kugelann)(Coleoptera: Curculionidae, Scolytinae) from Turkey. Journal of Pest Science, 81(2), 91-97."
272,"Yaman, M., & Radek, R. (2012). Menzbieria chalcographi, a new neogregarine pathogen of the great spruce bark beetle, Dendroctonus micans (Kugelann)(Curculionidae, Scolytinae). Acta parasitologica, 57(3), 216-220."
273,"Yaman, M., & Radek, R. (2015). Mattesia weiseri sp. nov., a new neogregarine (Apicomplexa: Lipotrophidae) pathogen of the great spruce bark beetle, Dendroctonus micans (Coleoptera: Curculionidae, Scolytinae). Parasitology research, 114(8), 2951-2958."
274,"Yaman, M., Algi, G., Unal, S., & Guner, B. G. (2016). Survey of pathogens and parasites of the engraver beetle Ips acuminatus (Gyllenhal, 1827)(Coleoptera: Curculionidae: Scolytinae) in Turkey. Acta zoologica bulgarica, 68(1), 127-130."
275,"Yaman, M., Ertürk, Ö. & Aslan, İ. (2010) Isolation of some pathogenic bacteria from the great spruce bark beetle, Dendroctonus micans and its specific predator, Rhizophagus grandis . Folia Microbiol 55, 35–38"
276,"Yao, J., Zhang, L., Chen, X., & Li, Z. (2012). A population survey of Beauveria bassiana in the microhabitat of the red turpentine beetle, Dendroctonus valens, in Chinese pine forests. Biocontrol Science and Technology, 22(11), 1254-1267."
277,"Zeiri, A., Ayberk, H., Mejda, D., & Braham, M. (2014). Pathogenic fungus against the almond bark beetle Scolytus amygdali Geurin-Meneville (Coleoptera: Curculionidae: Scolytinae): Aspergillus sp. Egyptian Journal of Biological Pest Control, 24(1), 71."
278,"Zhang, L. W., Liu, Y. J., Yao, J., Wang, B., Huang, B., Li, Z. Z., ... & Sun, J. H. (2011). Evaluation of Beauveria bassiana (Hyphomycetes) isolates as potential agents for control of Dendroctonus valens. Insect Science, 18(2), 209-216."
279,"Zimová, S., Resnerová, K., Vanická, H., Horák, J., Trombik, J., Kacprzyk, M., ... & Holuša, J. (2019). Infection Levels of the Microsporidium Larssoniella duplicati in populations of the invasive bark beetle Ips Duplicatus: from native to new outbreak areas. Forests, 10(2), 131."
280,"Žižka, Z., Weiser, J., & Wegensteiner, R. (1997). Ultrastructures of oocysts of Mattesia sp. in Ips typographus. J Eukaryot Microbiol, 44(98), 26A."
281,"Žižka, Z., Weiser, J., & Wegensteiner, R. (2001). Ultrastructure of the Entomopoxvirus Ab in the bark beetle Ips typographus. In 3rd Conference on Cell Biology, Kopp Publ., České Budějovice (pp. 214-215)."
